time,open,close
1998-01-01T08:30:00-06:00,970.43,980.28
1998-02-02T08:30:00-06:00,980.28,1049.34
1998-03-02T08:30:00-06:00,1049.68,1101.75
1998-04-01T08:30:00-06:00,1101.75,1111.77
1998-05-01T08:30:00-05:00,1111.75,1090.82
1998-06-01T08:30:00-05:00,1090.82,1133.84
1998-07-01T08:30:00-05:00,1133.84,1120.67
1998-08-03T08:30:00-05:00,1120.67,957.53
1998-09-01T08:30:00-05:00,957.3,1017.05
1998-10-01T08:30:00-05:00,1017.01,1098.67
1998-11-02T08:30:00-06:00,1098.82,1163.63
1998-12-01T08:30:00-06:00,1163.63,1229.23
1999-01-01T08:30:00-06:00,1229.23,1279.64
1999-02-01T08:30:00-06:00,1281.02,1238.33
1999-03-01T08:30:00-06:00,1238.33,1286.42
1999-04-01T08:30:00-06:00,1286.44,1335.18
1999-05-03T08:30:00-05:00,1335.18,1301.84
1999-06-01T08:30:00-05:00,1301.74,1372.66
1999-07-01T08:30:00-05:00,1372.7,1328.72
1999-08-02T08:30:00-05:00,1328.67,1320.41
1999-09-01T08:30:00-05:00,1321.12,1282.71
1999-10-01T08:30:00-05:00,1281,1362.93
1999-11-01T08:30:00-06:00,1363.17,1388.95
1999-12-01T08:30:00-06:00,1388.91,1469.25
2000-01-03T08:30:00-06:00,1471.21,1394.46
2000-02-01T08:30:00-06:00,1395.05,1359.78
2000-03-01T08:30:00-06:00,1366.83,1498.58
2000-04-03T08:30:00-05:00,1498.58,1456.04
2000-05-01T08:30:00-05:00,1456.75,1420.65
2000-06-01T08:30:00-05:00,1425.53,1454.6
2000-07-03T08:30:00-05:00,1454.27,1430.84
2000-08-01T08:30:00-05:00,1430.83,1517.59
2000-09-01T08:30:00-05:00,1520.69,1436.48
2000-10-02T08:30:00-05:00,1441.68,1429.39
2000-11-01T08:30:00-06:00,1425.25,1314.95
2000-12-01T08:30:00-06:00,1317.34,1320.5
2001-01-02T08:30:00-06:00,1320.28,1366.01
2001-02-01T08:30:00-06:00,1365.67,1239.94
2001-03-01T08:30:00-06:00,1237.39,1160.34
2001-04-02T08:30:00-05:00,1160.2,1249.48
