time,open,high,low,close
1998-01-31T18:00:00-06:00,162,162,162,162
1998-02-28T18:00:00-06:00,162,162,162,162
1998-03-31T18:00:00-06:00,162.2,162.2,162.2,162.2
1998-04-30T19:00:00-05:00,162.6,162.6,162.6,162.6
1998-05-31T19:00:00-05:00,162.8,162.8,162.8,162.8
1998-06-30T19:00:00-05:00,163.2,163.2,163.2,163.2
1998-07-31T19:00:00-05:00,163.4,163.4,163.4,163.4
1998-08-31T19:00:00-05:00,163.5,163.5,163.5,163.5
1998-09-30T19:00:00-05:00,163.9,163.9,163.9,163.9
1998-10-31T18:00:00-06:00,164.1,164.1,164.1,164.1
1998-11-30T18:00:00-06:00,164.4,164.4,164.4,164.4
1998-12-31T18:00:00-06:00,164.7,164.7,164.7,164.7
1999-01-31T18:00:00-06:00,164.7,164.7,164.7,164.7
1999-02-28T18:00:00-06:00,164.8,164.8,164.8,164.8
1999-03-31T18:00:00-06:00,165.9,165.9,165.9,165.9
1999-04-30T19:00:00-05:00,166,166,166,166
1999-05-31T19:00:00-05:00,166,166,166,166
1999-06-30T19:00:00-05:00,166.7,166.7,166.7,166.7
1999-07-31T19:00:00-05:00,167.1,167.1,167.1,167.1
1999-08-31T19:00:00-05:00,167.8,167.8,167.8,167.8
1999-09-30T19:00:00-05:00,168.1,168.1,168.1,168.1
1999-10-31T18:00:00-06:00,168.4,168.4,168.4,168.4
1999-11-30T18:00:00-06:00,168.8,168.8,168.8,168.8
1999-12-31T18:00:00-06:00,169.3,169.3,169.3,169.3
2000-01-31T18:00:00-06:00,170,170,170,170
2000-02-29T18:00:00-06:00,171,171,171,171
2000-03-31T18:00:00-06:00,170.9,170.9,170.9,170.9
2000-04-30T19:00:00-05:00,171.2,171.2,171.2,171.2
2000-05-31T19:00:00-05:00,172.2,172.2,172.2,172.2
2000-06-30T19:00:00-05:00,172.7,172.7,172.7,172.7
2000-07-31T19:00:00-05:00,172.7,172.7,172.7,172.7
2000-08-31T19:00:00-05:00,173.6,173.6,173.6,173.6
2000-09-30T19:00:00-05:00,173.9,173.9,173.9,173.9
2000-10-31T18:00:00-06:00,174.2,174.2,174.2,174.2
2000-11-30T18:00:00-06:00,174.6,174.6,174.6,174.6
2000-12-31T18:00:00-06:00,175.6,175.6,175.6,175.6
2001-01-31T18:00:00-06:00,176,176,176,176
2001-02-28T18:00:00-06:00,176.1,176.1,176.1,176.1
2001-03-31T18:00:00-06:00,176.4,176.4,176.4,176.4
2001-04-30T19:00:00-05:00,177.3,177.3,177.3,177.3
2001-05-31T19:00:00-05:00,177.7,177.7,177.7,177.7
2001-06-30T19:00:00-05:00,177.4,177.4,177.4,177.4
2001-07-31T19:00:00-05:00,177.4,177.4,177.4,177.4
2001-08-31T19:00:00-05:00,178.1,178.1,178.1,178.1
2001-09-30T19:00:00-05:00,177.6,177.6,177.6,177.6
2001-10-31T18:00:00-06:00,177.5,177.5,177.5,177.5
2001-11-30T18:00:00-06:00,177.4,177.4,177.4,177.4
2001-12-31T18:00:00-06:00,177.7,177.7,177.7,177.7
2002-01-31T18:00:00-06:00,178,178,178,178
2002-02-28T18:00:00-06:00,178.5,178.5,178.5,178.5
2002-03-31T18:00:00-06:00,179.3,179.3,179.3,179.3
2002-04-30T19:00:00-05:00,179.5,179.5,179.5,179.5
2002-05-31T19:00:00-05:00,179.6,179.6,179.6,179.6
2002-06-30T19:00:00-05:00,180,180,180,180
2002-07-31T19:00:00-05:00,180.5,180.5,180.5,180.5
2002-08-31T19:00:00-05:00,180.8,180.8,180.8,180.8
2002-09-30T19:00:00-05:00,181.2,181.2,181.2,181.2
2002-10-31T18:00:00-06:00,181.5,181.5,181.5,181.5
2002-11-30T18:00:00-06:00,181.8,181.8,181.8,181.8
2002-12-31T18:00:00-06:00,182.6,182.6,182.6,182.6
2003-01-31T18:00:00-06:00,183.6,183.6,183.6,183.6
2003-02-28T18:00:00-06:00,183.9,183.9,183.9,183.9
2003-03-31T18:00:00-06:00,183.2,183.2,183.2,183.2
2003-04-30T19:00:00-05:00,182.9,182.9,182.9,182.9
2003-05-31T19:00:00-05:00,183.1,183.1,183.1,183.1
2003-06-30T19:00:00-05:00,183.7,183.7,183.7,183.7
2003-07-31T19:00:00-05:00,184.5,184.5,184.5,184.5
2003-08-31T19:00:00-05:00,185.1,185.1,185.1,185.1
2003-09-30T19:00:00-05:00,184.9,184.9,184.9,184.9
2003-10-31T18:00:00-06:00,185,185,185,185
2003-11-30T18:00:00-06:00,185.5,185.5,185.5,185.5
2003-12-31T18:00:00-06:00,186.3,186.3,186.3,186.3
2004-01-31T18:00:00-06:00,186.7,186.7,186.7,186.7
2004-02-29T18:00:00-06:00,187.1,187.1,187.1,187.1
2004-03-31T18:00:00-06:00,187.4,187.4,187.4,187.4
2004-04-30T19:00:00-05:00,188.2,188.2,188.2,188.2
2004-05-31T19:00:00-05:00,188.9,188.9,188.9,188.9
2004-06-30T19:00:00-05:00,189.1,189.1,189.1,189.1
2004-07-31T19:00:00-05:00,189.2,189.2,189.2,189.2
2004-08-31T19:00:00-05:00,189.8,189.8,189.8,189.8
2004-09-30T19:00:00-05:00,190.8,190.8,190.8,190.8
2004-10-31T18:00:00-06:00,191.7,191.7,191.7,191.7
2004-11-30T18:00:00-06:00,191.7,191.7,191.7,191.7
2004-12-31T18:00:00-06:00,191.6,191.6,191.6,191.6
2005-01-31T18:00:00-06:00,192.4,192.4,192.4,192.4
2005-02-28T18:00:00-06:00,193.1,193.1,193.1,193.1
2005-03-31T18:00:00-06:00,193.7,193.7,193.7,193.7
2005-04-30T19:00:00-05:00,193.6,193.6,193.6,193.6
2005-05-31T19:00:00-05:00,193.7,193.7,193.7,193.7
2005-06-30T19:00:00-05:00,194.9,194.9,194.9,194.9
2005-07-31T19:00:00-05:00,196.1,196.1,196.1,196.1
2005-08-31T19:00:00-05:00,198.8,198.8,198.8,198.8
2005-09-30T19:00:00-05:00,199.1,199.1,199.1,199.1
2005-10-31T18:00:00-06:00,198.1,198.1,198.1,198.1
2005-11-30T18:00:00-06:00,198.1,198.1,198.1,198.1
2005-12-31T18:00:00-06:00,199.3,199.3,199.3,199.3
2006-01-31T18:00:00-06:00,199.4,199.4,199.4,199.4
2006-02-28T18:00:00-06:00,199.7,199.7,199.7,199.7
2006-03-31T18:00:00-06:00,200.7,200.7,200.7,200.7
2006-04-30T19:00:00-05:00,201.3,201.3,201.3,201.3
2006-05-31T19:00:00-05:00,201.8,201.8,201.8,201.8
2006-06-30T19:00:00-05:00,202.9,202.9,202.9,202.9
2006-07-31T19:00:00-05:00,203.8,203.8,203.8,203.8
2006-08-31T19:00:00-05:00,202.8,202.8,202.8,202.8
2006-09-30T19:00:00-05:00,201.9,201.9,201.9,201.9
2006-10-31T18:00:00-06:00,202,202,202,202
2006-11-30T18:00:00-06:00,203.1,203.1,203.1,203.1
2006-12-31T18:00:00-06:00,203.4,203.4,203.4,203.4
2007-01-31T18:00:00-06:00,204.2,204.2,204.2,204.2
2007-02-28T18:00:00-06:00,205.3,205.3,205.3,205.3
2007-03-31T19:00:00-05:00,205.9,205.9,205.9,205.9
2007-04-30T19:00:00-05:00,206.8,206.8,206.8,206.8
2007-05-31T19:00:00-05:00,207.2,207.2,207.2,207.2
2007-06-30T19:00:00-05:00,207.6,207.6,207.6,207.6
2007-07-31T19:00:00-05:00,207.7,207.7,207.7,207.7
2007-08-31T19:00:00-05:00,208.5,208.5,208.5,208.5
2007-09-30T19:00:00-05:00,209.2,209.2,209.2,209.2
2007-10-31T19:00:00-05:00,210.8,210.8,210.8,210.8
2007-11-30T18:00:00-06:00,211.4,211.4,211.4,211.4
2007-12-31T18:00:00-06:00,212.2,212.2,212.2,212.2
2008-01-31T18:00:00-06:00,212.7,212.7,212.7,212.7
2008-02-29T18:00:00-06:00,213.4,213.4,213.4,213.4
2008-03-31T19:00:00-05:00,213.9,213.9,213.9,213.9
2008-04-30T19:00:00-05:00,215.2,215.2,215.2,215.2
2008-05-31T19:00:00-05:00,217.5,217.5,217.5,217.5
2008-06-30T19:00:00-05:00,219,219,219,219
2008-07-31T19:00:00-05:00,218.7,218.7,218.7,218.7
2008-08-31T19:00:00-05:00,218.9,218.9,218.9,218.9
2008-09-30T19:00:00-05:00,217,217,217,217
2008-10-31T19:00:00-05:00,213.2,213.2,213.2,213.2
2008-11-30T18:00:00-06:00,211.4,211.4,211.4,211.4
2008-12-31T18:00:00-06:00,211.9,211.9,211.9,211.9
2009-01-31T18:00:00-06:00,212.7,212.7,212.7,212.7
2009-02-28T18:00:00-06:00,212.5,212.5,212.5,212.5
2009-03-31T19:00:00-05:00,212.7,212.7,212.7,212.7
2009-04-30T19:00:00-05:00,213,213,213,213
2009-05-31T19:00:00-05:00,214.8,214.8,214.8,214.8
2009-06-30T19:00:00-05:00,214.7,214.7,214.7,214.7
2009-07-31T19:00:00-05:00,215.4,215.4,215.4,215.4
2009-08-31T19:00:00-05:00,215.9,215.9,215.9,215.9
2009-09-30T19:00:00-05:00,216.5,216.5,216.5,216.5
2009-10-31T19:00:00-05:00,217.2,217.2,217.2,217.2
2009-11-30T18:00:00-06:00,217.3,217.3,217.3,217.3
2009-12-31T18:00:00-06:00,217.5,217.5,217.5,217.5
2010-01-31T18:00:00-06:00,217.3,217.3,217.3,217.3
2010-02-28T18:00:00-06:00,217.4,217.4,217.4,217.4
2010-03-31T19:00:00-05:00,217.4,217.4,217.4,217.4
2010-04-30T19:00:00-05:00,217.3,217.3,217.3,217.3
2010-05-31T19:00:00-05:00,217.2,217.2,217.2,217.2
2010-06-30T19:00:00-05:00,217.6,217.6,217.6,217.6
2010-07-31T19:00:00-05:00,217.9,217.9,217.9,217.9
2010-08-31T19:00:00-05:00,218.3,218.3,218.3,218.3
2010-09-30T19:00:00-05:00,219,219,219,219
2010-10-31T19:00:00-05:00,219.6,219.6,219.6,219.6
2010-11-30T18:00:00-06:00,220.5,220.5,220.5,220.5
2010-12-31T18:00:00-06:00,221.2,221.2,221.2,221.2
2011-01-31T18:00:00-06:00,221.9,221.9,221.9,221.9
2011-02-28T18:00:00-06:00,223,223,223,223
2011-03-31T19:00:00-05:00,224.1,224.1,224.1,224.1
2011-04-30T19:00:00-05:00,224.8,224.8,224.8,224.8
2011-05-31T19:00:00-05:00,224.8,224.8,224.8,224.8
2011-06-30T19:00:00-05:00,225.4,225.4,225.4,225.4
2011-07-31T19:00:00-05:00,226.1,226.1,226.1,226.1
2011-08-31T19:00:00-05:00,226.6,226.6,226.6,226.6
2011-09-30T19:00:00-05:00,226.8,226.8,226.8,226.8
2011-10-31T19:00:00-05:00,227.2,227.2,227.2,227.2
2011-11-30T18:00:00-06:00,227.2,227.2,227.2,227.2
2011-12-31T18:00:00-06:00,227.8,227.8,227.8,227.8
2012-01-31T18:00:00-06:00,228.3,228.3,228.3,228.3
2012-02-29T18:00:00-06:00,228.8,228.8,228.8,228.8
2012-03-31T19:00:00-05:00,229.2,229.2,229.2,229.2
2012-04-30T19:00:00-05:00,228.7,228.7,228.7,228.7
2012-05-31T19:00:00-05:00,228.5,228.5,228.5,228.5
2012-06-30T19:00:00-05:00,228.6,228.6,228.6,228.6
2012-07-31T19:00:00-05:00,229.9,229.9,229.9,229.9
2012-08-31T19:00:00-05:00,231,231,231,231
2012-09-30T19:00:00-05:00,231.6,231.6,231.6,231.6
