time,open,close,diff,avg
1998-01-01T08:30:00-06:00,970.43,980.28,,975.355
1998-02-02T08:30:00-06:00,980.28,1049.34,19.7275,1014.81
1998-03-02T08:30:00-06:00,1049.68,1101.75,30.4525,1075.715
1998-04-01T08:30:00-06:00,1101.75,1111.77,15.5225,1106.76
1998-05-01T08:30:00-05:00,1111.75,1090.82,-2.7375,1101.285
1998-06-01T08:30:00-05:00,1090.82,1133.84,5.5225,1112.33
1998-07-01T08:30:00-05:00,1133.84,1120.67,7.4625,1127.255
1998-08-03T08:30:00-05:00,1120.67,957.53,-44.0775,1039.1
1998-09-01T08:30:00-05:00,957.3,1017.05,-25.9625,987.175
1998-10-01T08:30:00-05:00,1017.01,1098.67,35.3325,1057.84
1998-11-02T08:30:00-06:00,1098.82,1163.63,36.6925,1131.225
1998-12-01T08:30:00-06:00,1163.63,1229.23,32.6025,1196.43
1999-01-01T08:30:00-06:00,1229.23,1279.64,29.0025,1254.435
1999-02-01T08:30:00-06:00,1281.02,1238.33,2.62,1259.675
1999-03-01T08:30:00-06:00,1238.33,1286.42,1.35,1262.375
1999-04-01T08:30:00-06:00,1286.44,1335.18,24.2175,1310.81
1999-05-03T08:30:00-05:00,1335.18,1301.84,3.85,1318.51
1999-06-01T08:30:00-05:00,1301.74,1372.66,9.345,1337.2
1999-07-01T08:30:00-05:00,1372.7,1328.72,6.755,1350.71
1999-08-02T08:30:00-05:00,1328.67,1320.41,-13.085,1324.54
1999-09-01T08:30:00-05:00,1321.12,1282.71,-11.3125,1301.915
1999-10-01T08:30:00-05:00,1281,1362.93,10.025,1321.965
1999-11-01T08:30:00-06:00,1363.17,1388.95,27.0475,1376.06
1999-12-01T08:30:00-06:00,1388.91,1469.25,26.51,1429.08
2000-01-03T08:30:00-06:00,1471.21,1394.46,1.8775,1432.835
2000-02-01T08:30:00-06:00,1395.05,1359.78,-27.71,1377.415
2000-03-01T08:30:00-06:00,1366.83,1498.58,27.645,1432.705
2000-04-03T08:30:00-05:00,1498.58,1456.04,22.3025,1477.31
2000-05-01T08:30:00-05:00,1456.75,1420.65,-19.305,1438.7
2000-06-01T08:30:00-05:00,1425.53,1454.6,0.6825,1440.065
2000-07-03T08:30:00-05:00,1454.27,1430.84,1.245,1442.555
2000-08-01T08:30:00-05:00,1430.83,1517.59,15.8275,1474.21
2000-09-01T08:30:00-05:00,1520.69,1436.48,2.1875,1478.585
2000-10-02T08:30:00-05:00,1441.68,1429.39,-21.525,1435.535
2000-11-01T08:30:00-06:00,1425.25,1314.95,-32.7175,1370.1
2000-12-01T08:30:00-06:00,1317.34,1320.5,-25.59,1318.92
2001-01-02T08:30:00-06:00,1320.28,1366.01,12.1125,1343.145
2001-02-01T08:30:00-06:00,1365.67,1239.94,-20.17,1302.805
2001-03-01T08:30:00-06:00,1237.39,1160.34,-51.97,1198.865
2001-04-02T08:30:00-05:00,1160.2,1249.48,2.9875,1204.84
2001-05-01T08:30:00-05:00,1249.55,1255.84,23.9275,1252.695
2001-06-01T08:30:00-05:00,1257.5,1226.99,-5.225,1242.245
2001-07-02T08:30:00-05:00,1225,1211.22,-12.0675,1218.11
2001-08-01T08:30:00-05:00,1214.3,1133.58,-22.085,1173.94
2001-09-04T08:30:00-05:00,1133.38,1040.9,-43.4,1087.14
2001-10-01T08:30:00-05:00,1040.2,1059.78,-18.575,1049.99
2001-11-01T08:30:00-06:00,1060.98,1139.45,25.1125,1100.215
2001-12-03T08:30:00-06:00,1137.53,1148.16,21.315,1142.845
2002-01-02T08:30:00-06:00,1149.97,1130.18,-1.385,1140.075
2002-02-01T08:30:00-06:00,1129.4,1106.74,-11.0025,1118.07
2002-03-01T08:30:00-06:00,1108.74,1147.39,4.9975,1128.065
2002-04-01T08:30:00-06:00,1145.96,1076.87,-8.325,1111.415
2002-05-01T08:30:00-05:00,1076.4,1067.18,-19.8125,1071.79
2002-06-03T08:30:00-05:00,1066.77,989.44,-21.8425,1028.105
2002-07-01T08:30:00-05:00,989.15,911.62,-38.86,950.385
2002-08-01T08:30:00-05:00,910.7,916.08,-18.4975,913.39
2002-09-03T08:30:00-05:00,916.07,815.26,-23.8625,865.665
2002-10-01T08:30:00-05:00,816.78,885.76,-7.1975,851.27
2002-11-01T08:30:00-06:00,884.33,936.31,29.525,910.32
2002-12-02T08:30:00-06:00,941.57,879.82,0.1875,910.695
2003-01-02T08:30:00-06:00,881.44,855.7,-21.0625,868.57
2003-02-03T08:30:00-06:00,855.7,841.15,-10.0725,848.425
2003-03-03T08:30:00-06:00,841.96,848.12,-1.6925,845.04
2003-04-01T08:30:00-06:00,849.05,916.92,18.9725,882.985
2003-05-01T08:30:00-05:00,916.8,963.59,28.605,940.195
2003-06-02T08:30:00-05:00,965.31,974.5,14.855,969.905
2003-07-01T08:30:00-05:00,973.83,990.31,6.0825,982.07
2003-08-01T08:30:00-05:00,989.73,1008.03,8.405,998.88
2003-09-02T08:30:00-05:00,1008.96,995.95,1.7875,1002.455
2003-10-01T08:30:00-05:00,997.12,1050.71,10.73,1023.915
2003-11-03T08:30:00-06:00,1051.84,1058.2,15.5525,1055.02
2003-12-01T08:30:00-06:00,1059.64,1111.92,15.38,1085.78
2004-01-02T08:30:00-06:00,1112.64,1131.13,18.0525,1121.885
2004-02-02T08:30:00-06:00,1131.88,1144.94,8.2625,1138.41
2004-03-01T08:30:00-06:00,1144.94,1126.21,-1.4175,1135.575
2004-04-01T08:30:00-06:00,1126.2,1107.24,-9.4275,1116.72
2004-05-03T08:30:00-05:00,1107.3,1120.64,-1.375,1113.97
2004-06-01T08:30:00-05:00,1119.48,1140.75,8.0725,1130.115
2004-07-01T08:30:00-05:00,1140.73,1101.72,-4.445,1121.225
2004-08-02T08:30:00-05:00,1101.72,1104.24,-9.1225,1102.98
2004-09-01T08:30:00-05:00,1104.24,1114.58,3.215,1109.41
